0         ,1        ,2             ,3
longitude ,latitude ,baro_altitude ,velocity
-81.6658  ,35.6387  ,6606.54       ,180.66
-104.5962 ,41.3578  ,9144          ,160.51
-43.9071  ,-19.4296 ,11582.4       ,234.13
-93.3964  ,37.2616  ,9761.22       ,186.83
-116.2461 ,34.1098  ,8938.26       ,223.84
-73.9932  ,40.7818  ,426.72        ,61.95
2.2828    ,51.9085  ,6621.78       ,171.95
32.9861   ,41.8373  ,11277.6       ,228.95
8.2293    ,48.8936  ,9433.56       ,207.59
-85.1946  ,31.259   ,11887.2       ,273.87
29.3794   ,36.0007  ,10058.4       ,233.45
-98.4823  ,18.7439  ,6515.1        ,183.12
-88.2404  ,29.1178  ,12192         ,197.54
-87.9247  ,37.3068  ,1272.54       ,80.4
11.269    ,49.1237  ,9144          ,207.86
-2.4594   ,40.9874  ,7178.04       ,216.07
-122.2546 ,38.4265  ,1402.08       ,58.87
-90.5223  ,38.711   ,251.46        ,52.68
-80.0993  ,37.4824  ,2682.24       ,97.78
3.7955    ,41.595   ,8244.84       ,221.58
-78.4878  ,-0.3119  ,4526.28       ,100.7
-47.5319  ,-24.4409 ,9105.9        ,198.39
-81.51    ,28.3792  ,190.5         ,39.93
-73.914   ,40.9921  ,411.48        ,71.05
11.7572   ,44.8066  ,4724.4        ,196.13
24.5438   ,42.8419  ,4457.7        ,184.65
-121.3035 ,36.7728  ,6179.82       ,196.57
-116.6524 ,45.7988  ,10972.8       ,240.51
-79.6168  ,43.6761  ,137.16        ,3.6
-84.2817  ,33.9405  ,914.4         ,43.81
-80.9429  ,32.307   ,7025.64       ,224.4
-78.0335  ,38.937   ,1158.24       ,62.8
-74.2845  ,45.2629  ,4236.72       ,185.37
11.5567   ,49.8197  ,10370.82      ,201.87
-8.7167   ,33.6267  ,11590.02      ,232.59
1.624     ,45.8571  ,10058.4       ,216.35
-107.002  ,39.8994  ,12512.04      ,258.9
21.791    ,44.6084  ,10972.8       ,193.39
-91.794   ,29.5399  ,6522.72       ,201.13
15.6118   ,48.2236  ,10668         ,246.69
-74.0077  ,40.0221  ,1356.36       ,75.31
-0.1664   ,51.469   ,929.64        ,75.2
-96.3343  ,32.7501  ,213.36        ,67.39
-122.1265 ,47.9603  ,320.04        ,43.48
-114.018  ,51.1273  ,              ,8.75
6.5575    ,49.773   ,1516.38       ,107.44
-99.0349  ,19.2004  ,4076.7        ,138.73
-87.3205  ,34.7266  ,5387.34       ,71.42
-86.4749  ,32.4137  ,815.34        ,78.92
-95.2622  ,40.9711  ,10972.8       ,204.47
-3.14     ,43.4672  ,10965.18      ,238.2
8.7325    ,45.5957  ,236.22        ,64.47
-97.0016  ,40.9396  ,1280.16       ,62.61
-104.8364 ,39.4601  ,5669.28       ,162.95
-70.0445  ,21.5051  ,9456.42       ,251.05
-117.8205 ,33.7058  ,1257.3        ,117
-81.7635  ,35.1334  ,10050.78      ,257.74
-122.246  ,48.096   ,777.24        ,89.99
-82.0992  ,33.5242  ,2750.82       ,107.21
-83.3311  ,28.9407  ,6789.42       ,233.1
-86.3685  ,35.3404  ,8191.5        ,237.83
5.8924    ,60.3132  ,2933.7        ,138.14
-86.0343  ,30.9815  ,11277.6       ,287.74
19.0668   ,44.6288  ,10972.8       ,204.71
0.854     ,47.9257  ,10980.42      ,244.09
-73.8593  ,40.772   ,              ,2.31
8.5967    ,50.1865  ,11894.82      ,246.35
7.3278    ,50.4178  ,9753.6        ,211.44
5.0166    ,51.666   ,11277.6       ,239.64
-150.0037 ,61.193   ,              ,0
-93.7974  ,41.5476  ,10363.2       ,205.34
-77.4463  ,38.9444  ,38.1          ,4.37
7.8028    ,50.3079  ,10660.38      ,242.19
-96.0368  ,43.5812  ,5128.26       ,200.55
0.9779    ,52.136   ,5234.94       ,149.7
-84.8729  ,33.7218  ,1440.18       ,136
-121.9521 ,38.6705  ,1737.36       ,124.16
-81.3951  ,30.4923  ,12207.24      ,221.92
-74.4216  ,39.1652  ,11582.4       ,200.02
-120.3212 ,35.6774  ,10972.8       ,221.84
-102.8054 ,30.2366  ,8991.6        ,257.1
8.6244    ,47.0051  ,10972.8       ,251.99
15.8183   ,43.2058  ,10668         ,235.42
14.3056   ,47.4405  ,10668         ,257.85
9.7143    ,49.3017  ,7078.98       ,244.48
-114.9777 ,30.9504  ,11460.48      ,238.31
-76.197   ,36.6028  ,1097.28       ,42.56
-98.6343  ,19.9297  ,8404.86       ,206.35
-89.1767  ,31.2483  ,9144          ,129.45
-118.9252 ,35.8057  ,10431.78      ,241.32
-96.3549  ,32.5901  ,1836.42       ,53.5
-83.8137  ,39.7784  ,12496.8       ,177.72
-110.9068 ,33.8168  ,8618.22       ,275.67
-110.7805 ,38.4085  ,11803.38      ,238.6
-105.2025 ,48.5338  ,12192         ,241.16
-90.5728  ,38.3918  ,3086.1        ,147.9
-40.7239  ,-20.5307 ,4823.46       ,148.94
-77.6963  ,38.9593  ,1470.66       ,148.29
-81.1974  ,28.7686  ,38.1          ,34.19
-97.8376  ,30.5253  ,5501.64       ,192.11
-105.102  ,40.3043  ,2316.48       ,45.76
-59.3878  ,-36.6317 ,10972.8       ,218.01
-6.251    ,53.4216  ,              ,0
-96.8523  ,30.3945  ,6096          ,131.59
-5.0189   ,46.666   ,10980.42      ,235.86
-97.2956  ,30.2601  ,4290.06       ,182.44
78.3019   ,21.7985  ,9144          ,228.77
-101.6513 ,33.4175  ,1470.66       ,43.59
-98.9953  ,29.1298  ,11887.2       ,246.47
-120.9594 ,40.1868  ,13716         ,230.22
83.8086   ,23.5881  ,11277.6       ,282.98
-80.0317  ,26.2084  ,3703.32       ,155.29
-91.5637  ,28.3988  ,10668         ,245.09
-115.6426 ,52.4638  ,6705.6        ,118.6
          ,         ,297.18        ,94
154.2913  ,-32.7152 ,11582.4       ,231.04
-81.6279  ,42.1942  ,11277.6       ,270.61
-93.6143  ,33.3717  ,9753.6        ,225.49
1.6191    ,48.4471  ,4061.46       ,196.02
-79.6396  ,8.9965   ,822.96        ,63.62
-6.2537   ,39.9068  ,11582.4       ,242.37
-8.4302   ,41.7165  ,3093.72       ,131.68
-80.7122  ,34.8141  ,3596.64       ,96.35
          ,         ,              ,0.06
